"","Row.names","p_val","avg_logFC","pct.1","pct.2","p_val_adj","log1p_avg_cases","log1p_avg_controls"
"1","1700066B19Rik",NA,NA,NA,NA,NA,0,0
"2","1700092M07Rik",NA,NA,NA,NA,NA,0,0
"3","5S-rRNA.103",NA,NA,NA,NA,NA,0,0
"4","5S-rRNA.120",NA,NA,NA,NA,NA,0,0
"5","5S-rRNA.122",NA,NA,NA,NA,NA,0,0
"6","5S-rRNA.123",NA,NA,NA,NA,NA,0,0
"7","5S-rRNA.195",NA,NA,NA,NA,NA,0,0
"8","5S-rRNA.206",NA,NA,NA,NA,NA,0,0
"9","5S-rRNA.223",NA,NA,NA,NA,NA,0,0
"10","5S-rRNA.258",NA,NA,NA,NA,NA,0,0
"11","5S-rRNA.264",NA,NA,NA,NA,NA,0,0
"12","5S-rRNA.274",NA,NA,NA,NA,NA,0,0
"13","5S-rRNA.285",NA,NA,NA,NA,NA,0,0
"14","5S-rRNA.40",NA,NA,NA,NA,NA,0,0
"15","5S-rRNA.97",NA,NA,NA,NA,NA,0,0
"16","7SK.108",NA,NA,NA,NA,NA,0,0
"17","7SK.116",NA,NA,NA,NA,NA,0,0
"18","7SK.124",NA,NA,NA,NA,NA,0,0
"19","7SK.134",NA,NA,NA,NA,NA,0,0
"20","7SK.137",NA,NA,NA,NA,NA,0,0
"21","7SK.153",NA,NA,NA,NA,NA,0,0
"22","7SK.20",NA,NA,NA,NA,NA,0,0
"23","7SK.22",NA,NA,NA,NA,NA,0,0
"24","7SK.23",NA,NA,NA,NA,NA,0,0
"25","7SK.232",NA,NA,NA,NA,NA,0,0
"26","7SK.233",NA,NA,NA,NA,NA,0,0
"27","7SK.235",NA,NA,NA,NA,NA,0,0
"28","7SK.239",NA,NA,NA,NA,NA,0,0
"29","7SK.253",NA,NA,NA,NA,NA,0,0
"30","7SK.261",NA,NA,NA,NA,NA,0,0
"31","7SK.272",NA,NA,NA,NA,NA,0.0958220066717847,0
"32","7SK.279",NA,NA,NA,NA,NA,0,0
"33","7SK.298",NA,NA,NA,NA,NA,0,0
"34","7SK.316",NA,NA,NA,NA,NA,0,0
"35","7SK.356",NA,NA,NA,NA,NA,0,0
"36","7SK.365",NA,NA,NA,NA,NA,0,0
"37","7SK.63",NA,NA,NA,NA,NA,0,0
"38","7SK.85",NA,NA,NA,NA,NA,0,0
"39","7SK.90",NA,NA,NA,NA,NA,0,0
"40","A1cf",NA,NA,NA,NA,NA,0,0
"41","A2m",NA,NA,NA,NA,NA,0,0
"42","A3galt2",NA,NA,NA,NA,NA,0,0
"43","AA926063",NA,NA,NA,NA,NA,0,0
"44","Aaas",NA,NA,NA,NA,NA,0.198207828598712,0
"45","AABR07000109.1",NA,NA,NA,NA,NA,0,0
"46","AABR07000147.1",NA,NA,NA,NA,NA,0,0
"47","AABR07000156.1",NA,NA,NA,NA,NA,0,0
"48","AABR07000159.4",NA,NA,NA,NA,NA,0,0
"49","AABR07000382.1",NA,NA,NA,NA,NA,0,0
"50","AABR07000385.2",NA,NA,NA,NA,NA,0.0400630407930852,0
"51","AABR07000398.1",NA,NA,NA,NA,NA,1.68294591892525,2.1816185347912
"52","AABR07000411.1",NA,NA,NA,NA,NA,0,0
"53","AABR07000433.1",NA,NA,NA,NA,NA,0,0
"54","AABR07000493.1",7.65553385958279e-11,-0.000777578599385564,0,1,1.53110677191656e-07,0,0
"55","AABR07000534.1",NA,NA,NA,NA,NA,0,0
"56","AABR07000629.3",NA,NA,NA,NA,NA,0,0
"57","AABR07000658.2",7.65553385958279e-11,-0.00925308272326119,0,1,1.53110677191656e-07,0,0
"58","AABR07001037.1",NA,NA,NA,NA,NA,0,0
"59","AABR07001048.1",NA,NA,NA,NA,NA,0,0
"60","AABR07001064.1",NA,NA,NA,NA,NA,0,0
"61","AABR07001099.1",NA,NA,NA,NA,NA,0.0557682404821157,0.329358749216417
"62","AABR07001099.2",NA,NA,NA,NA,NA,0.0509586503620064,0.329358749216417
"63","AABR07001100.1",NA,NA,NA,NA,NA,0,0
"64","AABR07001210.1",NA,NA,NA,NA,NA,0,0
"65","AABR07001382.1",NA,NA,NA,NA,NA,0.232682139719252,1.5511608293538
"66","AABR07001382.2",NA,NA,NA,NA,NA,0,0
"67","AABR07001389.1",NA,NA,NA,NA,NA,0,0
"68","AABR07001432.1",NA,NA,NA,NA,NA,0,0
"69","AABR07001435.1",NA,NA,NA,NA,NA,0,0
"70","AABR07001477.1",NA,NA,NA,NA,NA,0.0477828329521241,0
"71","AABR07001512.1",NA,NA,NA,NA,NA,0,0
"72","AABR07001519.1",NA,NA,NA,NA,NA,0.0599843982983643,0
"73","AABR07001591.1",NA,NA,NA,NA,NA,0,0
"74","AABR07001634.1",NA,NA,NA,NA,NA,0,0
"75","AABR07001807.1",NA,NA,NA,NA,NA,0,0
"76","AABR07001896.1",NA,NA,NA,NA,NA,0.418342131691428,0
"77","AABR07001902.1",NA,NA,NA,NA,NA,0.0466851016755053,0
"78","AABR07001905.1",NA,NA,NA,NA,NA,0,0
"79","AABR07001905.2",NA,NA,NA,NA,NA,0.0953750778694859,0.450164044250481
"80","AABR07001910.1",NA,NA,NA,NA,NA,0.063505336130163,0
"81","AABR07001923.1",NA,NA,NA,NA,NA,0,0
"82","AABR07001926.3",NA,NA,NA,NA,NA,0,0
"83","AABR07002010.1",NA,NA,NA,NA,NA,0,0
"84","AABR07002065.2",7.65553385958279e-11,-0.00213186499575548,0,1,1.53110677191656e-07,0,0
"85","AABR07002068.1",NA,NA,NA,NA,NA,0.062520356981334,0
"86","AABR07002247.1",NA,NA,NA,NA,NA,0.0509586503620064,0
"87","AABR07002337.1",NA,NA,NA,NA,NA,0,0
"88","AABR07002384.1",NA,NA,NA,NA,NA,0,0
"89","AABR07002546.1",NA,NA,NA,NA,NA,0,0
"90","AABR07002627.1",NA,NA,NA,NA,NA,0,0
"91","AABR07002674.1",NA,NA,NA,NA,NA,0,0
"92","AABR07002677.2",NA,NA,NA,NA,NA,0,0
"93","AABR07002683.1",NA,NA,NA,NA,NA,0.961560488124038,1.05224943864086
"94","AABR07002768.1",NA,NA,NA,NA,NA,0.0979124164775467,0
"95","AABR07002774.1",NA,NA,NA,NA,NA,0.168407646428676,0
"96","AABR07002774.2",NA,NA,NA,NA,NA,0,0
"97","AABR07002774.3",NA,NA,NA,NA,NA,0,0
"98","AABR07002774.4",NA,NA,NA,NA,NA,0,0
"99","AABR07002775.1",NA,NA,NA,NA,NA,0,0
"100","AABR07002784.1",NA,NA,NA,NA,NA,0,0
"101","AABR07002784.2",NA,NA,NA,NA,NA,0,0
"102","AABR07002792.2",NA,NA,NA,NA,NA,0.351257774099781,0
"103","AABR07002848.1",NA,NA,NA,NA,NA,0,0
"104","AABR07002868.1",NA,NA,NA,NA,NA,0,0
"105","AABR07002868.2",NA,NA,NA,NA,NA,0,0
"106","AABR07002875.1",NA,NA,NA,NA,NA,0,0
"107","AABR07002882.1",NA,NA,NA,NA,NA,0,0
"108","AABR07002885.1",NA,NA,NA,NA,NA,0,0
"109","AABR07002898.1",NA,NA,NA,NA,NA,0.152089996675666,0
"110","AABR07002938.1",NA,NA,NA,NA,NA,0,0
"111","AABR07002945.1",NA,NA,NA,NA,NA,0,0
"112","AABR07002945.2",NA,NA,NA,NA,NA,0.181986649794481,0
"113","AABR07002969.1",NA,NA,NA,NA,NA,0,0
"114","AABR07002997.1",NA,NA,NA,NA,NA,0,0
"115","AABR07003049.1",NA,NA,NA,NA,NA,0,0
"116","AABR07003173.1",NA,NA,NA,NA,NA,0,0
"117","AABR07003176.1",NA,NA,NA,NA,NA,0.0813251648543138,0
"118","AABR07003235.1",NA,NA,NA,NA,NA,0,0
"119","AABR07003250.6",NA,NA,NA,NA,NA,0,0
"120","AABR07003273.1",NA,NA,NA,NA,NA,0,0
"121","AABR07003304.2",NA,NA,NA,NA,NA,0,0
"122","AABR07003344.1",NA,NA,NA,NA,NA,0,0
"123","AABR07003500.1",NA,NA,NA,NA,NA,0,0
"124","AABR07003537.1",NA,NA,NA,NA,NA,0,0
"125","AABR07003650.1",NA,NA,NA,NA,NA,0,0
"126","AABR07004085.1",NA,NA,NA,NA,NA,0,0
"127","AABR07004101.2",NA,NA,NA,NA,NA,0,0
