"","Row.names","p_val","avg_logFC","pct.1","pct.2","p_val_adj","log1p_avg_cases","log1p_avg_controls"
"1","1700066B19Rik",NA,NA,NA,NA,NA,0.0129837952016124,0.00690404864010776
"2","1700092M07Rik",NA,NA,NA,NA,NA,0,0.00301557379180975
"3","5S-rRNA.103",NA,NA,NA,NA,NA,0,0
"4","5S-rRNA.120",NA,NA,NA,NA,NA,0,0.0047088958780647
"5","5S-rRNA.122",NA,NA,NA,NA,NA,0,0
"6","5S-rRNA.123",NA,NA,NA,NA,NA,0,0
"7","5S-rRNA.195",NA,NA,NA,NA,NA,0,0.00765610831703056
"8","5S-rRNA.206",NA,NA,NA,NA,NA,0,0
"9","5S-rRNA.223",NA,NA,NA,NA,NA,0,0
"10","5S-rRNA.258",NA,NA,NA,NA,NA,0,0
"11","5S-rRNA.264",NA,NA,NA,NA,NA,0,0
"12","5S-rRNA.274",NA,NA,NA,NA,NA,0,0
"13","5S-rRNA.285",NA,NA,NA,NA,NA,0,0
"14","5S-rRNA.40",NA,NA,NA,NA,NA,0,0
"15","5S-rRNA.97",NA,NA,NA,NA,NA,0,0
"16","7SK.108",NA,NA,NA,NA,NA,0,0
"17","7SK.116",NA,NA,NA,NA,NA,0,0
"18","7SK.124",NA,NA,NA,NA,NA,0,0
"19","7SK.134",NA,NA,NA,NA,NA,0.0049058471969546,0.0103077553836927
"20","7SK.137",NA,NA,NA,NA,NA,0,0.00505739182481146
"21","7SK.153",NA,NA,NA,NA,NA,0,0
"22","7SK.20",NA,NA,NA,NA,NA,0,0
"23","7SK.22",NA,NA,NA,NA,NA,0,0
"24","7SK.23",NA,NA,NA,NA,NA,0,0
"25","7SK.232",NA,NA,NA,NA,NA,0,0.00428943673464479
"26","7SK.233",NA,NA,NA,NA,NA,0,0
"27","7SK.235",NA,NA,NA,NA,NA,0.0139885115135418,0.0320159735478081
"28","7SK.239",NA,NA,NA,NA,NA,0,0
"29","7SK.253",NA,NA,NA,NA,NA,0,0
"30","7SK.261",NA,NA,NA,NA,NA,0.00305395223017304,0
"31","7SK.272",NA,NA,NA,NA,NA,0.00712712624788655,0
"32","7SK.279",NA,NA,NA,NA,NA,0,0
"33","7SK.298",NA,NA,NA,NA,NA,0,0
"34","7SK.316",NA,NA,NA,NA,NA,0.0100127439166271,0
"35","7SK.356",NA,NA,NA,NA,NA,0,0
"36","7SK.365",NA,NA,NA,NA,NA,0,0.00454593556386969
"37","7SK.63",NA,NA,NA,NA,NA,0,0
"38","7SK.85",NA,NA,NA,NA,NA,0,0
"39","7SK.90",NA,NA,NA,NA,NA,0,0
"40","A1cf",NA,NA,NA,NA,NA,0,0
"41","A2m",NA,NA,NA,NA,NA,0.0981005741117342,0
"42","A3galt2",NA,NA,NA,NA,NA,0.264179850993621,0.455273287524433
"43","AA926063",NA,NA,NA,NA,NA,0.181038694689633,0.0582999993421205
"44","Aaas",NA,NA,NA,NA,NA,0.0447703822088952,0.0414542058852367
"45","AABR07000109.1",NA,NA,NA,NA,NA,0,0
"46","AABR07000147.1",NA,NA,NA,NA,NA,0,0
"47","AABR07000156.1",NA,NA,NA,NA,NA,0,0
"48","AABR07000159.4",NA,NA,NA,NA,NA,0,0
"49","AABR07000382.1",NA,NA,NA,NA,NA,0,0
"50","AABR07000385.2",NA,NA,NA,NA,NA,0.0116970581868877,0.0120086583451451
"51","AABR07000398.1",NA,NA,NA,NA,NA,2.02528085329328,3.35243281143435
"52","AABR07000411.1",NA,NA,NA,NA,NA,0.0325974990298741,0.0708677870930503
"53","AABR07000433.1",NA,NA,NA,NA,NA,0,0
"54","AABR07000493.1",3.94626243940657e-12,-0.00354803862205885,0,0.175,7.89252487881313e-09,0,0
"55","AABR07000534.1",NA,NA,NA,NA,NA,0.00839875260987077,0
"56","AABR07000629.3",NA,NA,NA,NA,NA,0,0
"57","AABR07000658.2",4.9883318839504e-08,-0.00261422799834511,0,0.112,9.97666376790081e-05,0,0
"58","AABR07001037.1",NA,NA,NA,NA,NA,0,0
"59","AABR07001048.1",NA,NA,NA,NA,NA,0,0
"60","AABR07001064.1",NA,NA,NA,NA,NA,0,0
"61","AABR07001099.1",NA,NA,NA,NA,NA,0.0366929297595227,0.0770888136790187
"62","AABR07001099.2",NA,NA,NA,NA,NA,0.155363755248352,0.106156934058867
"63","AABR07001100.1",NA,NA,NA,NA,NA,0.00901379675083922,0.00468220669620335
"64","AABR07001210.1",NA,NA,NA,NA,NA,0,0
"65","AABR07001382.1",NA,NA,NA,NA,NA,0.247230865468322,0.655826409109047
"66","AABR07001382.2",NA,NA,NA,NA,NA,0.00870924935473126,0.0174541476447431
"67","AABR07001389.1",1.57521097309605e-12,0.000603807394373442,0,0.011,3.15042194619211e-09,0,0.0098610454903454
"68","AABR07001432.1",NA,NA,NA,NA,NA,0.00437570818784711,0
"69","AABR07001435.1",NA,NA,NA,NA,NA,0.11335209048526,0.113743922448278
"70","AABR07001477.1",NA,NA,NA,NA,NA,0.00525191431074702,0.00644212580663522
"71","AABR07001512.1",NA,NA,NA,NA,NA,0,0
"72","AABR07001519.1",NA,NA,NA,NA,NA,0.00649169139020138,0
"73","AABR07001591.1",NA,NA,NA,NA,NA,0.0233424097873422,0.0396089520968823
"74","AABR07001634.1",NA,NA,NA,NA,NA,0,0.021354876395439
"75","AABR07001807.1",NA,NA,NA,NA,NA,0.00561294693213811,0.0385707579168794
"76","AABR07001896.1",NA,NA,NA,NA,NA,0.0837462020450398,0.111653382984819
"77","AABR07001902.1",NA,NA,NA,NA,NA,0.0170454763635062,0.01486966383518
"78","AABR07001905.1",NA,NA,NA,NA,NA,0,0
"79","AABR07001905.2",NA,NA,NA,NA,NA,0.0394586450042466,0.0442510815312383
"80","AABR07001910.1",NA,NA,NA,NA,NA,0.081228464433567,0.0963962012804017
"81","AABR07001923.1",NA,NA,NA,NA,NA,0.0707784717695071,0.189021306167889
"82","AABR07001926.3",NA,NA,NA,NA,NA,0.0817474313227251,0.0728595846983762
"83","AABR07002010.1",0.335023360259547,-0.0047088958780646,0,0.004,1,0,0.0047088958780647
"84","AABR07002065.2",0.0678074134503172,0.00277857033755219,0,0.089,1,0,0.00714271404499257
"85","AABR07002068.1",NA,NA,NA,NA,NA,0,0
"86","AABR07002247.1",NA,NA,NA,NA,NA,0,0.0182625274316115
"87","AABR07002337.1",NA,NA,NA,NA,NA,0,0
"88","AABR07002384.1",NA,NA,NA,NA,NA,0.00806914107617487,0.0543624381894918
"89","AABR07002546.1",NA,NA,NA,NA,NA,0,0
"90","AABR07002627.1",NA,NA,NA,NA,NA,0,0.0249637370211369
"91","AABR07002674.1",NA,NA,NA,NA,NA,0.127452463052689,0.105903973367126
"92","AABR07002677.2",NA,NA,NA,NA,NA,0,0
"93","AABR07002683.1",NA,NA,NA,NA,NA,0.681135780669887,0.602196408673896
"94","AABR07002768.1",NA,NA,NA,NA,NA,0.162008452865187,0.197258763539848
"95","AABR07002774.1",NA,NA,NA,NA,NA,0.0455448657004551,0.0423390535079899
"96","AABR07002774.2",NA,NA,NA,NA,NA,0.00812031231337025,0
"97","AABR07002774.3",NA,NA,NA,NA,NA,0.00592292475193734,0.0185381446008608
"98","AABR07002774.4",NA,NA,NA,NA,NA,0,0.00394737718238115
"99","AABR07002775.1",NA,NA,NA,NA,NA,0,0
"100","AABR07002784.1",NA,NA,NA,NA,NA,0,0.00348352663256627
"101","AABR07002784.2",NA,NA,NA,NA,NA,0,0
"102","AABR07002792.2",NA,NA,NA,NA,NA,0.14281935936538,0.0581545291545201
"103","AABR07002848.1",5.68809334938968e-16,-0.0110358212530389,0,0.007,1.13761866987794e-12,0,0.0154702070284762
"104","AABR07002868.1",NA,NA,NA,NA,NA,0.0264252899767788,0.0158890045619594
"105","AABR07002868.2",NA,NA,NA,NA,NA,0,0.00443159025841513
"106","AABR07002875.1",NA,NA,NA,NA,NA,0,0
"107","AABR07002882.1",NA,NA,NA,NA,NA,0.0205982546105013,0
"108","AABR07002885.1",NA,NA,NA,NA,NA,0,0
"109","AABR07002898.1",NA,NA,NA,NA,NA,0.107564490872978,0.0314542738716629
"110","AABR07002938.1",NA,NA,NA,NA,NA,0.00503788539753473,0
"111","AABR07002945.1",NA,NA,NA,NA,NA,0,0
"112","AABR07002945.2",NA,NA,NA,NA,NA,0.0943935039708472,0.0283340895186953
"113","AABR07002969.1",NA,NA,NA,NA,NA,0,0.00476197725351369
"114","AABR07002997.1",NA,NA,NA,NA,NA,0.00798423471969936,0.0218873559641429
"115","AABR07003049.1",NA,NA,NA,NA,NA,0,0
"116","AABR07003173.1",NA,NA,NA,NA,NA,0,0
"117","AABR07003176.1",NA,NA,NA,NA,NA,0.0454533676283782,0.0735341906314198
"118","AABR07003235.1",NA,NA,NA,NA,NA,0,0
"119","AABR07003250.6",NA,NA,NA,NA,NA,0,0.00339446289023305
"120","AABR07003273.1",NA,NA,NA,NA,NA,0.00362138692039777,0.00894033355930359
"121","AABR07003304.2",NA,NA,NA,NA,NA,0.00802528821098518,0.0715556775836224
