"","Row.names","p_val","avg_logFC","pct.1","pct.2","p_val_adj","log1p_avg_cases","log1p_avg_controls"
"1","1700066B19Rik",NA,NA,NA,NA,NA,0.0503723584619932,0
"2","1700092M07Rik",NA,NA,NA,NA,NA,0,0
"3","5S-rRNA.103",NA,NA,NA,NA,NA,0.0226890575160219,0
"4","5S-rRNA.120",NA,NA,NA,NA,NA,0,0
"5","5S-rRNA.122",NA,NA,NA,NA,NA,0,0
"6","5S-rRNA.123",NA,NA,NA,NA,NA,0,0
"7","5S-rRNA.195",NA,NA,NA,NA,NA,0,0
"8","5S-rRNA.206",NA,NA,NA,NA,NA,0.0375120872394112,0
"9","5S-rRNA.223",NA,NA,NA,NA,NA,0,0
"10","5S-rRNA.258",NA,NA,NA,NA,NA,0,0
"11","5S-rRNA.264",NA,NA,NA,NA,NA,0,0
"12","5S-rRNA.274",NA,NA,NA,NA,NA,0,0
"13","5S-rRNA.285",NA,NA,NA,NA,NA,0,0
"14","5S-rRNA.40",NA,NA,NA,NA,NA,0,0
"15","5S-rRNA.97",NA,NA,NA,NA,NA,0,0
"16","7SK.108",NA,NA,NA,NA,NA,0,0
"17","7SK.116",NA,NA,NA,NA,NA,0,0
"18","7SK.124",NA,NA,NA,NA,NA,0.0332159348707634,0
"19","7SK.134",NA,NA,NA,NA,NA,0.0777349326179116,0
"20","7SK.137",NA,NA,NA,NA,NA,0,0
"21","7SK.153",NA,NA,NA,NA,NA,0,0
"22","7SK.20",NA,NA,NA,NA,NA,0.0389245059770999,0
"23","7SK.22",NA,NA,NA,NA,NA,0,0
"24","7SK.23",NA,NA,NA,NA,NA,0,0
"25","7SK.232",NA,NA,NA,NA,NA,0,0
"26","7SK.233",NA,NA,NA,NA,NA,0,0
"27","7SK.235",NA,NA,NA,NA,NA,0,0
"28","7SK.239",NA,NA,NA,NA,NA,0,0
"29","7SK.253",NA,NA,NA,NA,NA,0.0318514491652981,0
"30","7SK.261",NA,NA,NA,NA,NA,0,0
"31","7SK.272",NA,NA,NA,NA,NA,0,0.763422308994504
"32","7SK.279",NA,NA,NA,NA,NA,0,0
"33","7SK.298",NA,NA,NA,NA,NA,0,0
"34","7SK.316",NA,NA,NA,NA,NA,0,0
"35","7SK.356",NA,NA,NA,NA,NA,0,0
"36","7SK.365",NA,NA,NA,NA,NA,0,0
"37","7SK.63",NA,NA,NA,NA,NA,0,0
"38","7SK.85",NA,NA,NA,NA,NA,0,0
"39","7SK.90",NA,NA,NA,NA,NA,0,0
"40","A1cf",NA,NA,NA,NA,NA,0,0
"41","A2m",NA,NA,NA,NA,NA,0,0
