"","Row.names","p_val","avg_logFC","pct.1","pct.2","p_val_adj","log1p_avg_cases","log1p_avg_controls"
"1","1700066B19Rik",NA,NA,NA,NA,NA,0,0
"2","1700092M07Rik",NA,NA,NA,NA,NA,0,0
"3","5S-rRNA.103",NA,NA,NA,NA,NA,0,0
"4","5S-rRNA.120",NA,NA,NA,NA,NA,0.00685340698041354,0
"5","5S-rRNA.122",NA,NA,NA,NA,NA,0,0
"6","5S-rRNA.123",NA,NA,NA,NA,NA,0,0
"7","5S-rRNA.195",NA,NA,NA,NA,NA,0,0
"8","5S-rRNA.206",NA,NA,NA,NA,NA,0,0
"9","5S-rRNA.223",NA,NA,NA,NA,NA,0,0
"10","5S-rRNA.258",NA,NA,NA,NA,NA,0,0
"11","5S-rRNA.264",NA,NA,NA,NA,NA,0,0
"12","5S-rRNA.274",NA,NA,NA,NA,NA,0,0
"13","5S-rRNA.285",NA,NA,NA,NA,NA,0,0
"14","5S-rRNA.40",NA,NA,NA,NA,NA,0,0
"15","5S-rRNA.97",NA,NA,NA,NA,NA,0,0
"16","7SK.108",NA,NA,NA,NA,NA,0,0
"17","7SK.116",NA,NA,NA,NA,NA,0,0
"18","7SK.124",NA,NA,NA,NA,NA,0.0154186826826007,0
"19","7SK.134",NA,NA,NA,NA,NA,0.00661667772772217,0
"20","7SK.137",NA,NA,NA,NA,NA,0,0
"21","7SK.153",NA,NA,NA,NA,NA,0,0
"22","7SK.20",NA,NA,NA,NA,NA,0.0125753495995441,0
"23","7SK.22",NA,NA,NA,NA,NA,0,0
"24","7SK.23",NA,NA,NA,NA,NA,0.0052378545496109,0
"25","7SK.232",NA,NA,NA,NA,NA,0,0
"26","7SK.233",NA,NA,NA,NA,NA,0,0
"27","7SK.235",NA,NA,NA,NA,NA,0.00414040691273225,0.0215957066001086
"28","7SK.239",NA,NA,NA,NA,NA,0,0
"29","7SK.253",NA,NA,NA,NA,NA,0,0.0204708734441533
"30","7SK.261",NA,NA,NA,NA,NA,0,0
"31","7SK.272",NA,NA,NA,NA,NA,0,0
"32","7SK.279",NA,NA,NA,NA,NA,0,0
"33","7SK.298",NA,NA,NA,NA,NA,0,0
"34","7SK.316",NA,NA,NA,NA,NA,0.00745808490131311,0
"35","7SK.356",NA,NA,NA,NA,NA,0.0323252109873205,0
"36","7SK.365",NA,NA,NA,NA,NA,0,0.0298294522700205
"37","7SK.63",NA,NA,NA,NA,NA,0,0
"38","7SK.85",NA,NA,NA,NA,NA,0,0
"39","7SK.90",NA,NA,NA,NA,NA,0,0
"40","A1cf",NA,NA,NA,NA,NA,0.0173705514914934,0
"41","A2m",NA,NA,NA,NA,NA,0,0
"42","A3galt2",NA,NA,NA,NA,NA,0.0381546210982072,0.032252127961608
"43","AA926063",NA,NA,NA,NA,NA,0.116525302934661,0.0703348237379672
"44","Aaas",NA,NA,NA,NA,NA,0.0531629048420716,0.0195705175041448
"45","AABR07000109.1",NA,NA,NA,NA,NA,0,0
"46","AABR07000147.1",NA,NA,NA,NA,NA,0.00362925033786926,0
"47","AABR07000156.1",NA,NA,NA,NA,NA,0,0
"48","AABR07000159.4",NA,NA,NA,NA,NA,0,0
"49","AABR07000382.1",NA,NA,NA,NA,NA,0.00595481945926719,0
"50","AABR07000385.2",NA,NA,NA,NA,NA,0.010303527685257,0
"51","AABR07000398.1",NA,NA,NA,NA,NA,0.807537143806146,1.92455420373643
"52","AABR07000411.1",NA,NA,NA,NA,NA,0,0
"53","AABR07000433.1",NA,NA,NA,NA,NA,0.0102064416230437,0
"54","AABR07000493.1",5.71924307598274e-57,-0.0296617191042039,0.005,0.03,1.14384861519655e-53,0.0256024762704961,0.173063313857223
"55","AABR07000534.1",NA,NA,NA,NA,NA,0.0104052372053149,0
"56","AABR07000629.3",NA,NA,NA,NA,NA,0.00530353581578694,0
"57","AABR07000658.2",6.87787954942824e-34,0.000886187681242778,0.002,0.343,1.37557590988565e-30,0.00575429879072608,0
"58","AABR07001037.1",NA,NA,NA,NA,NA,0.010556007930007,0
"59","AABR07001048.1",NA,NA,NA,NA,NA,0,0
"60","AABR07001064.1",NA,NA,NA,NA,NA,0.0156080020715815,0
"61","AABR07001099.1",NA,NA,NA,NA,NA,0.0564837524924578,0.133476844946848
"62","AABR07001099.2",NA,NA,NA,NA,NA,0.183973121503052,0.170034923860279
"63","AABR07001100.1",NA,NA,NA,NA,NA,0.0141147396664346,0
"64","AABR07001210.1",NA,NA,NA,NA,NA,0,0
"65","AABR07001382.1",NA,NA,NA,NA,NA,0.289029830685509,0.223282223844549
"66","AABR07001382.2",NA,NA,NA,NA,NA,0,0
"67","AABR07001389.1",NA,NA,NA,NA,NA,0,0
"68","AABR07001432.1",NA,NA,NA,NA,NA,0.032296259449931,0
"69","AABR07001435.1",NA,NA,NA,NA,NA,0.123604088849272,0.0988857429882726
"70","AABR07001477.1",NA,NA,NA,NA,NA,0.00246608033202294,0
"71","AABR07001512.1",NA,NA,NA,NA,NA,0,0
"72","AABR07001519.1",NA,NA,NA,NA,NA,0,0
"73","AABR07001591.1",NA,NA,NA,NA,NA,0.00733827065265543,0
"74","AABR07001634.1",NA,NA,NA,NA,NA,0,0
"75","AABR07001807.1",NA,NA,NA,NA,NA,0.00917957476652104,0.0518915925113729
"76","AABR07001896.1",NA,NA,NA,NA,NA,0.133076378286845,0.216443773753546
"77","AABR07001902.1",NA,NA,NA,NA,NA,0.00912668542229836,0.00902002413796599
"78","AABR07001905.1",NA,NA,NA,NA,NA,0,0
"79","AABR07001905.2",NA,NA,NA,NA,NA,0.0216865830808403,0.119609571705827
"80","AABR07001910.1",NA,NA,NA,NA,NA,0.0224258024898275,0.0242154895370037
"81","AABR07001923.1",NA,NA,NA,NA,NA,0.033429911710171,0.0234890423371236
"82","AABR07001926.3",NA,NA,NA,NA,NA,0,0
"83","AABR07002010.1",NA,NA,NA,NA,NA,0,0
"84","AABR07002065.2",0.267250869834887,0.0380848662733316,0.002,0.01,1,0.0381389390251593,0
"85","AABR07002068.1",NA,NA,NA,NA,NA,0,0
"86","AABR07002247.1",NA,NA,NA,NA,NA,0,0
"87","AABR07002337.1",NA,NA,NA,NA,NA,0,0
"88","AABR07002384.1",NA,NA,NA,NA,NA,0.00292384874241707,0
"89","AABR07002546.1",NA,NA,NA,NA,NA,0,0
"90","AABR07002627.1",NA,NA,NA,NA,NA,0.00479773930089939,0
"91","AABR07002674.1",NA,NA,NA,NA,NA,0.314081235811781,0.249985910295108
"92","AABR07002677.2",NA,NA,NA,NA,NA,0,0
"93","AABR07002683.1",NA,NA,NA,NA,NA,0.230640467723098,0.190673034977197
"94","AABR07002768.1",NA,NA,NA,NA,NA,0.118970839615318,0.150562826547982
"95","AABR07002774.1",NA,NA,NA,NA,NA,0.0445965134745412,0
"96","AABR07002774.2",NA,NA,NA,NA,NA,0,0
"97","AABR07002774.3",NA,NA,NA,NA,NA,0,0
"98","AABR07002774.4",NA,NA,NA,NA,NA,0.00570317837565268,0
"99","AABR07002775.1",NA,NA,NA,NA,NA,0,0
"100","AABR07002784.1",NA,NA,NA,NA,NA,0,0
"101","AABR07002784.2",NA,NA,NA,NA,NA,0,0
"102","AABR07002792.2",NA,NA,NA,NA,NA,0.168295440770439,0.0938488153044715
"103","AABR07002848.1",NA,NA,NA,NA,NA,0,0
"104","AABR07002868.1",NA,NA,NA,NA,NA,0,0
"105","AABR07002868.2",NA,NA,NA,NA,NA,0.0137434017752599,0.0466744276462019
"106","AABR07002875.1",NA,NA,NA,NA,NA,0,0
"107","AABR07002882.1",NA,NA,NA,NA,NA,0,0.0198045882746688
"108","AABR07002885.1",NA,NA,NA,NA,NA,0.0170169370801882,0
"109","AABR07002898.1",NA,NA,NA,NA,NA,0.109939765691525,0.0725887095722885
"110","AABR07002938.1",NA,NA,NA,NA,NA,0,0
"111","AABR07002945.1",NA,NA,NA,NA,NA,0,0
"112","AABR07002945.2",NA,NA,NA,NA,NA,0.0591061862543554,0
"113","AABR07002969.1",NA,NA,NA,NA,NA,0,0.170246728166883
"114","AABR07002997.1",NA,NA,NA,NA,NA,0.0162959859515276,0
"115","AABR07003049.1",NA,NA,NA,NA,NA,0,0
"116","AABR07003173.1",NA,NA,NA,NA,NA,0,0
