"","Row.names","p_val","avg_logFC","pct.1","pct.2","p_val_adj","log1p_avg_cases","log1p_avg_controls"
"1","AABR07034739.1",3.6278974645146e-31,0.53103906529385,0.145,1,7.2557949290292e-28,0.675625486058305,0
"2","AABR07060872.1",1.91209198632033e-13,1.04489583841028,0.275,1,3.82418397264067e-10,1.32930472432616,0.0349467903112096
"3","Btg2",4.81569075576471e-17,0.510327432148667,0.24,1,9.63138151152942e-14,0.646346386544196,0.0425210697620391
"4","Cd3g",2.09947957792776e-06,0.282109616226487,0.08,0.309,0.00419895915585552,0.298259734830741,0.00498575608076235
"5","Cd69",1.74414357737312e-28,0.26731124056045,0.16,1,3.48828715474624e-25,0.351325003145824,0
"6","Cd74",5.60257313018708e-07,0.884086605053578,0.355,1,0.00112051462603742,1.5515113334001,0.361973392340501
"7","Cd79b",2.96109758979416e-30,0.364432441700721,0.15,1,5.92219517958833e-27,0.479998826059254,0
"8","Crip1",2.53874077908082e-15,0.36156519616473,0.23,0.967,5.07748155816165e-12,0.488262635667715,0.0628300608814511
"9","Cxcr4",2.4620553324862e-17,0.295915094400254,0.235,1,4.92411066497241e-14,0.385375972150058,0.00498575608076235
"10","Hba-a3",0.221673924796892,0.393674769641806,0.84,0.894,1,4.05039498376136,4.3579813426618
"11","Ifi27l2b",2.47038265622772e-05,0.393367272809284,0.14,0.675,0.0494076531245543,0.419389819542917,0.0114242168660004
"12","Ighm",3.09976129398452e-25,0.530250669398758,0.18,1,6.19952258796904e-22,0.678792004716877,0.00750797115649862
"13","Itm2b",0.00072381749702643,0.31166680905094,0.585,0.691,1,0.904842015771293,0.820472555806805
"14","Junb",1.8719352138051e-11,0.44903401333312,0.29,1,3.7438704276102e-08,0.57577208551729,0.0374021200369259
"15","Lyl1",7.62237375430851e-14,-0.291436666632605,0.38,1,1.5244747508617e-10,0.406955071030251,0.602259547729922
"16","Nrtn",9.08500146682956e-28,-0.2596893222646,0.175,0.984,1.81700029336591e-24,0.234586642334557,0.442182755968392
"17","Plac8",4.56423838860953e-16,0.872314010781878,0.245,1,9.12847677721906e-13,1.02520596857616,0
"18","RT1-Ba",9.15290612421073e-28,0.438698173011076,0.165,1,1.83058122484215e-24,0.641196921714689,0.0547082427797596
"19","RT1-Da",2.69896536598604e-31,0.846781709678483,0.145,1,5.39793073197207e-28,1.09127992845936,0.116636862454269
"20","RT1-Db1",2.48221766911513e-22,0.587381719720093,0.2,1,4.96443533823027e-19,0.850883687626232,0.0961275807107345
"21","Srgn",3.14278387574267e-25,0.267268184050164,0.18,1,6.28556775148534e-22,0.356529835072885,0.00994677766700155
