"","Row.names","p_val","avg_logFC","pct.1","pct.2","p_val_adj","log1p_avg_cases","log1p_avg_controls"
"1","AABR07001389.1",0.8789029323482,0.281158827915916,0.288,0.653,1,0.725264422708746,0.386760761112283
"2","AABR07005821.1",0.0104547275544405,0.824125417023752,0.369,0.939,1,1.59756269955664,0.353670732812368
"3","AABR07018078.1",0.100631684395196,0.404433092306749,0.153,0.673,1,0.518480535149074,0.137544316807539
"4","AABR07025295.1",0.283674884851589,0.294916230263736,0.081,0.531,1,0.325479775357831,0.0492094516893798
"5","AABR07034739.1",1.58393606754615e-19,0.877658643664519,0.108,1,3.1678721350923e-16,1.03569607611229,0
"6","AABR07034739.3",1.284122815247e-17,0.279898464962918,0.126,1,2.56824563049399e-14,0.530350895322991,0
"7","AABR07044388.2",0.101062164018263,0.396060751845628,0.162,0.673,1,0.500495847037907,0.0276399643787383
"8","AABR07050652.1",0.204588821591925,-0.337489833687194,0.009,0.143,1,0.0111941509201618,0.291507622130787
"9","AABR07060872.1",8.46743205799265e-08,1.72602365905352,0.225,0.959,0.000169348641159853,1.98165834108242,0
"10","AABR07070307.1",1.51855841767677e-08,-0.347029600550465,0.009,0.122,3.03711683535354e-05,0.0259412535777244,0.387961392117329
"11","Abi3",0.418824911191397,0.33501102098957,0.153,0.633,1,0.387046774528994,0.0276399643787383
"12","Acer3",2.23672510827503e-17,0.294372783946115,0.081,0.939,4.47345021655005e-14,0.31969871173191,0
"13","Ackr4",0.000342164809765196,-0.583338421820588,0.117,0.735,0.684329619530392,0.478776553802342,0.917609661002824
"14","Acp5",3.64105741472367e-10,0.475912203692664,0.153,0.918,7.28211482944735e-07,0.538536128263035,0.0276399643787383
"15","Actn1",0.00527098281432032,0.443029626431853,0.36,0.51,1,1.21137163698885,0.987196588435653
"16","Adam10",8.67362667451144e-11,0.464224829585687,0.351,0.245,1.73472533490229e-07,0.957347942769487,0.825818526061905
"17","Adamts1",6.96110275645404e-08,-0.682525474979488,0.252,0.959,0.000139222055129081,0.860658030688144,1.35488919711462
"18","Adamts12",0.0457596103270129,-0.280269276525958,0.045,0.469,1,0.0655141060580097,0.360522487658092
"19","Adamts5",1.97058120118249e-10,-0.507878392411031,0.018,0.143,3.94116240236498e-07,0.0350221647327801,0.642035260223542
"20","Adgrg3",4.79306625506083e-06,0.393183907911859,0.045,0.327,0.00958613251012166,0.437250570243583,0
"21","Adm",1.93533221572066e-07,0.310571639409853,0.027,0.327,0.000387066443144132,0.317199092174835,0
"22","Aebp1",1.48465782046254e-07,0.274394154175332,0.09,0.796,0.000296931564092508,0.586504552596084,0.303745791178856
"23","Agrn",0.000801081118322708,0.261407397873282,0.171,0.776,1,0.591324719921552,0.295876521691861
"24","Akap12",0.0190523467695751,-0.704723457439827,0.288,0.49,1,1.48947740312873,2.42912726397429
"25","Amigo2",9.31329893860653e-06,0.2530663064931,0.108,0.776,0.0186265978772131,0.369922845721109,0.0743121045826576
"26","Angptl4",0.000132633980322157,0.474777776485395,0.117,0.755,0.265267960644314,0.599854842024426,0
"27","Anxa1",0.034710271324536,0.696043547612001,0.414,0.612,1,1.38043767762555,1.36325199832859
"28","Anxa5",0.0524723389905966,-0.283990721211168,0.595,1,1,1.87920554760024,1.920582510607
"29","Aplnr",2.87844433611887e-06,0.5485784451334,0.261,0.898,0.00575688867223774,1.12356029417722,0.262979094079391
"30","Aplp2",0.00189982604714137,0.318748320697069,0.55,0.51,1,1.81900385543426,1.89391201332091
"31","Apoe",0.163670660954546,0.568987709057122,0.297,0.755,1,0.940050850109675,0.387841695939149
"32","Apold1",0.0512431068269799,0.677859904402616,0.387,0.939,1,1.3968611262429,0.351519345192007
"33","Atf3",0.00123920006280899,0.708690712356938,0.171,0.408,1,0.842998947265718,0.0705715329533207
"34","Atp8b1",0.108927070497902,0.423121010110274,0.261,0.714,1,0.873132899957406,0.429593790973858
"35","Bcam",1.65053196803649e-05,0.480520103170247,0.396,0.388,0.0330106393607297,1.29521580465905,1.12153740595895
