"","Row.names","p_val","avg_logFC","pct.1","pct.2","p_val_adj","log1p_avg_cases","log1p_avg_controls"
"1","AABR07017902.1",0.0275991959089746,0.273908543753014,0.821,0.938,1,1.99043617779294,2.03861863364397
"2","AABR07018078.1",0.00348452719518351,0.527924315537502,0.539,0.753,1,1.2595972908408,1.13741287177573
"3","Ahnak",0.000666828518600753,-0.542835896885837,0.286,0.704,1,0.953963365774465,2.40306335998186
"4","Anxa1",0.661253588922972,-0.297796059539144,0.252,0.63,1,0.83372157613742,1.28386269372749
"5","Art2b",1.96081919236687e-06,0.329974644787347,0.42,0.519,0.00392163838473375,1.10262881790776,0.943297670855192
"6","Ccl21",3.17306233370279e-10,0.276849671796374,0.181,0.79,6.34612466740558e-07,0.580420981166317,0.243966288305447
"7","Ccl4",1.4850116550942e-12,0.328779926123841,0.235,0.877,2.97002331018841e-09,0.906687112143031,0.663770270611076
"8","Cd24",1.03900352653241e-72,-0.362800235638284,0.018,0.506,2.07800705306483e-69,0.0665707527817236,0.322061340240616
"9","Cd247",0.613634436970706,0.260332675266596,0.549,0.938,1,1.12337794296965,0.971131288534441
"10","Cd27",0.791205204608057,0.32298801249075,0.574,0.975,1,1.24863934598175,0.897699108563935
"11","Cd3d",0.000297603419740512,0.370361140083074,0.851,1,0.595206839481023,1.99597921873765,1.60724532999947
"12","Cd3e",0.00822947653305264,0.304771012563501,0.843,0.988,1,1.93600465077437,1.58693093473621
"13","Cd3g",0.000212102302450179,0.347492711052899,0.911,1,0.424204604900358,2.4232629841858,2.01155744928591
"14","Cd8a",3.00529799172067e-06,0.426059291278711,0.3,0.864,0.00601059598344133,1.32082177679986,1.08869045010984
"15","Cd8b",5.92563638995033e-06,0.308772645605855,0.245,0.765,0.0118512727799007,0.737347398562237,0.461303175790623
"16","Cd99",0.00766421902894079,-0.319642514244226,0.351,0.728,1,0.873704365431152,1.2999617387689
"17","Cish",2.09936529746825e-14,-0.273008301498908,0.133,0.753,4.19873059493649e-11,0.344929957501296,1.13250696408191
"18","Ckb",5.64610790198565e-07,-0.286312954141934,0.058,0.481,0.00112922158039713,0.156877399717935,0.687700614357241
"19","Cotl1",0.0351028352965176,0.372208478122724,0.673,0.926,1,1.53710777767848,1.46162689501993
"20","Ctsw",5.74472419839999e-06,0.264924989955097,0.249,0.802,0.0114894483968,0.852341316211064,0.803071534603625
"21","Cxcr4",0.00959356453986758,0.377194034935235,0.739,0.889,1,1.80379805364509,1.46896341117207
"22","Cysltr1",1.60679097141349e-26,-0.271124449064948,0.032,0.198,3.21358194282699e-23,0.0927640733916244,0.515834509681768
"23","Dpp4",0.919712597655754,0.255616809141427,0.248,0.654,1,0.546379453163133,0.380182585056497
"24","Dusp1",1.10749881499588e-10,-0.467368017610911,0.402,1,2.21499762999177e-07,1.12395095238057,0.723815551126839
"25","Efhd2",0.17117723475925,-0.254833036960583,0.221,0.568,1,0.458398281859704,0.842117906565769
"26","Emb",0.225428539860164,-0.420053229205847,0.05,0.309,1,0.161747211128907,0.829426227942079
"27","Ezr",0.000785159269700575,0.306705734712082,0.652,0.741,1,1.33024603404929,1.34611202595869
