"","Row.names","p_val","avg_logFC","pct.1","pct.2","p_val_adj","log1p_avg_cases","log1p_avg_controls"
"1","AABR07001389.1",0.0919761589523658,0.376436696675905,0.371,0.648,1,0.983494124941046,0.573919556428659
"2","AABR07034739.1",1.47727237339164e-45,0.305818046933265,0.05,1,2.95454474678327e-42,0.357225510199064,0
"3","AABR07060872.1",0.000291346628909967,0.487933080955436,0.145,0.719,0.582693257819933,0.665569001118204,0.101808086120035
"4","Ackr3",0.0860142287784167,0.456254741394874,0.604,0.727,1,2.12957047362844,2.22062037862243
"5","Ackr4",2.92983162829685e-09,-0.460583962495364,0.176,0.586,5.8596632565937e-06,0.806926336293821,1.45124203250429
"6","Adamts5",2.32995255530351e-05,0.300360023308661,0.27,0.469,0.0465990511060702,0.705828974448119,1.04426263572452
"7","Adgrg3",0.665708114016293,0.368620073105656,0.616,0.953,1,1.48863153570774,1.08996547167625
"8","Adm",0.0601095647638304,-0.321322489976219,0.069,0.469,1,0.260115248895721,0.617295032926082
"9","Agt",1.38476421806527e-05,-0.621986004979457,0.182,0.352,0.0276952843613054,0.883544639664112,1.8470567030402
"10","Akap12",0.104766202409233,0.260615285685783,0.868,0.852,1,2.97450410029674,3.45720652653538
"11","Angptl4",9.42862692467724e-11,-0.303717578730992,0.195,0.844,1.88572538493545e-07,0.62987789001047,0.947363364703378
"12","Aqp1",0.0229503942253677,0.289622157047157,0.377,0.586,1,1.99673845284999,2.57736771702502
"13","B3gnt8",0.000268295251311159,0.290241538684444,0.553,0.648,0.536590502622318,1.13274245323186,1.16325487554484
"14","Ccl21",0.00173048795567395,0.360393194775412,0.918,1,1,6.79903665289135,6.55041826072347
"15","Ccn1",0.000314665552453896,-0.294719015309592,0.27,0.781,0.629331104907792,0.719225235887614,1.16307968285484
"16","Cd320",0.995974959712292,-0.275959820793517,0.56,0.695,1,1.18286429106318,1.71551562889312
