"","Row.names","p_val","avg_logFC","pct.1","pct.2","p_val_adj","log1p_avg_cases","log1p_avg_controls"
"1","Akap12",8.45968112919963e-66,0.316796915233797,0.103,0.84,1.69193622583993e-62,0.51158075851824,0.183488070155009
"2","Cd24",7.35782572404039e-62,0.318010577604581,0.186,0.979,1.47156514480808e-58,0.729258236785417,0.221791819147052
"3","Cd81",0.890763505896212,0.361794197086043,0.476,0.868,1,1.22727905982624,0.86346086113892
"4","Cited2",0.145226145041996,0.323303204562927,0.288,0.729,1,0.854083202923406,0.888557264548094
"5","Cotl1",0.0494149428008197,0.298304143651268,0.57,0.854,1,1.43496866479532,1.42082980796831
"6","Ddit4",0.000523917011426604,0.257826758247784,0.431,0.938,1,1.18810945193129,1.09079775276188
"7","Dusp1",3.72597827081979e-24,0.265843881195443,0.254,0.931,7.45195654163958e-21,0.768921158177987,0.420243368732387
"8","Egr1",1.55781682139384e-19,0.411833297937994,0.314,0.986,3.11563364278769e-16,1.11568215574252,0.27159239506178
"9","Fos",0.0103284875272745,0.297975160175584,0.484,0.917,1,1.63816436879351,1.51758723128139
"10","Ftl1",0.0037563554602494,0.434146268414589,0.697,0.993,1,1.86612012029892,1.2899770599514
"11","Gadd45b",1.63884266268606e-20,0.309409729742992,0.307,0.979,3.27768532537212e-17,0.983701065365652,0.454733229302138
"12","Hba-a2",0.900364509941661,0.335802080156686,0.584,1,1,1.60443470296405,1.36071613112043
"13","Hbb",4.30049503274632e-55,0.284972189063296,0.194,0.972,8.60099006549265e-52,0.629708955422829,0.313510431299487
"14","Id3",8.63839683768465e-10,0.321584563961696,0.34,0.931,1.72767936753693e-06,0.965081207303549,0.636295615306372
"15","Jun",1.44916578332721e-05,0.264798847908328,0.285,0.799,0.0289833156665442,0.96644781313654,1.02442183925556
"16","Klf4",1.71667308811528e-16,0.269144916342298,0.137,0.736,3.43334617623056e-13,0.492866478046542,0.252350681194835
"17","Laptm5",0.411406541059037,0.288636807830198,0.459,0.875,1,1.17727059258291,1.19097790049921
"18","LOC100360087",1.28153172060436e-34,0.297016430135549,0.197,0.903,2.56306344120873e-31,0.579249584635504,0.190382423513643
"19","Marcks",0.00602482122853593,0.327735599649855,0.352,0.819,1,1.08808936089957,0.861204707125239
"20","Niban3",1.24863701702493e-08,0.410517349888618,0.291,0.854,2.49727403404985e-05,0.951543069495274,0.439519405333271
"21","Septin1",0.95679843856714,0.265944917628614,0.471,0.84,1,1.15567479189275,1.14740324879289
"22","Tifa",5.81560987508961e-27,0.252395461531557,0.17,0.826,1.16312197501792e-23,0.662708903833693,0.315684916371857
"23","Tnfrsf13c",0.895585174230215,0.33251178853911,0.514,0.868,1,1.44458665963447,1.19950286004217
"24","Vim",0.844231119778405,0.301286592574218,0.635,0.986,1,2.01996171229787,1.42887114186247
