gene_short_name	status	p_value	morans_test_statistic	morans_I	q_value
AABR07058280.2	OK	8.93154923557627e-41	13.3193605146962	0.165140080467878	2.35862271075412e-40
Kdelr3	FAIL	NA	NA	NA	1
Acer2	FAIL	NA	NA	NA	1
Chmp4c	FAIL	NA	NA	NA	1
Dysf	OK	2.71553522834342e-41	13.4079622045484	0.160840285925445	7.2061032400918e-41
Fcgr2b	FAIL	NA	NA	NA	1
Maf	FAIL	NA	NA	NA	1
Dclk3	FAIL	NA	NA	NA	1
Skap1	OK	8.1360961994221e-08	5.23755034131479	0.0518264888369211	1.16474640328569e-07
Srgap3	FAIL	NA	NA	NA	1
Fkbp9	FAIL	NA	NA	NA	1
Samhd1	FAIL	NA	NA	NA	1
Edil3	FAIL	NA	NA	NA	1
Cacnb4	FAIL	NA	NA	NA	1
LOC681341	OK	4.5916164150958e-56	15.7316191958966	0.0962557133442195	1.6433153485606e-55
Ppp2r2b	OK	7.30302571328588e-167	27.5066805346102	0.334410035507467	1.2415143712586e-165
Atp1b1	FAIL	NA	NA	NA	1
Csf2ra	FAIL	NA	NA	NA	1
Sema5a	FAIL	NA	NA	NA	1
Necab1	FAIL	NA	NA	NA	1
Cyba	FAIL	NA	NA	NA	1
Gsc	FAIL	NA	NA	NA	1
Adh7	FAIL	NA	NA	NA	1
Cycs	FAIL	NA	NA	NA	1
Itga11	FAIL	NA	NA	NA	1
Ptch2	FAIL	NA	NA	NA	1
Dusp14	OK	0	42.2282106674498	0.526586828060138	0
Dab2	FAIL	NA	NA	NA	1
Ahr	FAIL	NA	NA	NA	1
Zfp385d	FAIL	NA	NA	NA	1
Nnmt	FAIL	NA	NA	NA	1
Rgs10	FAIL	NA	NA	NA	1
Alcam	FAIL	NA	NA	NA	1
Sdc4	FAIL	NA	NA	NA	1
Cfb	FAIL	NA	NA	NA	1
Uaca	FAIL	NA	NA	NA	1
Avpr1a	FAIL	NA	NA	NA	1
Myc	FAIL	NA	NA	NA	1
Flrt2	FAIL	NA	NA	NA	1
Gas1	FAIL	NA	NA	NA	1
AABR07021704.1	FAIL	NA	NA	NA	1
Myom1	OK	6.19699517035905e-37	12.6419510011574	0.103826425373504	1.49829572118903e-36
Camk2n1	FAIL	NA	NA	NA	1
RGD1563354	FAIL	NA	NA	NA	1
Elk3	FAIL	NA	NA	NA	1
Lamc1	FAIL	NA	NA	NA	1
Olfm1	FAIL	NA	NA	NA	1
Ntrk3	FAIL	NA	NA	NA	1
Dab1	FAIL	NA	NA	NA	1
Ca8	FAIL	NA	NA	NA	1
Sytl3	FAIL	NA	NA	NA	1
Itk	FAIL	NA	NA	NA	1
Il18rap	FAIL	NA	NA	NA	1
Spib	OK	4.25599812547759e-59	16.1677730694816	0.198619967623215	1.70239925019104e-58
Krt75	OK	4.0998356718733e-13	7.15777546001248	0.0416215932379042	6.50236328133841e-13
Tmsb15b2	FAIL	NA	NA	NA	1
Hemgn	FAIL	NA	NA	NA	1
Nectin2	FAIL	NA	NA	NA	1
AABR07006538.1	FAIL	NA	NA	NA	1
Mtus1	FAIL	NA	NA	NA	1
Csf3r	OK	2.64985489483531e-63	16.753939989386	0.19761303258543	1.1625169861213e-62
Ppp1r1a	FAIL	NA	NA	NA	1
Slc1a3	FAIL	NA	NA	NA	1
Rdh10	OK	1.25456597165164e-15	7.91317156710787	0.0966460168234158	2.08074356273931e-15
Maged2	FAIL	NA	NA	NA	1
AABR07070307.1	FAIL	NA	NA	NA	1
Zeb2	FAIL	NA	NA	NA	1
Col5a1	FAIL	NA	NA	NA	1
Ccdc141	FAIL	NA	NA	NA	1
Hrc	OK	2.07609872692121e-24	10.1279604283403	0.109326496558414	4.15219745384243e-24
Marc1	FAIL	NA	NA	NA	1
Ccr3	FAIL	NA	NA	NA	1
Hbe1	FAIL	NA	NA	NA	1
Rad51	FAIL	NA	NA	NA	1
Nmb	FAIL	NA	NA	NA	1
Il18r1	FAIL	NA	NA	NA	1
Pcdh19	FAIL	NA	NA	NA	1
Qprt	FAIL	NA	NA	NA	1
Mme	FAIL	NA	NA	NA	1
Amigo2	OK	2.74142188396233e-47	14.3959970536406	0.173316369501003	8.33147209427659e-47
Klf1	OK	9.9567884620149e-46	14.1454861294368	0.166684077005302	2.83586016928592e-45
Emilin1	FAIL	NA	NA	NA	1
Lsp1	FAIL	NA	NA	NA	1
Dram1	FAIL	NA	NA	NA	1
Papss2	FAIL	NA	NA	NA	1
Tlr7	OK	1	-9.61834304507575	-0.0861427569381504	1
Ms4a1	OK	3.88600688778476e-25	10.2905635700833	0.122467154514961	7.91755710470004e-25
Cyb561a3	FAIL	NA	NA	NA	1
Tfpi	FAIL	NA	NA	NA	1
Tcn2	FAIL	NA	NA	NA	1
Ptprj	FAIL	NA	NA	NA	1
Ap1s2	FAIL	NA	NA	NA	1
Vasn	FAIL	NA	NA	NA	1
Kcnk2	OK	0	39.1533318332439	0.470244194768794	0
AABR07039446.2	OK	0.756913588656474	-0.696408849322304	-0.00234903358376968	0.779850364070306
Gulp1	FAIL	NA	NA	NA	1
Smoc1	FAIL	NA	NA	NA	1
Tdrkh	OK	0.172556062330801	0.944112573691139	0.00775621982345768	0.20362363971357
Itgam	FAIL	NA	NA	NA	1
Efhd2	FAIL	NA	NA	NA	1
Cyp4b1	OK	0.627405776803265	-0.324990255943612	-0.00209227437385814	0.658897186449761
Prc1	OK	8.56897487187379e-17	8.24057883589101	0.0951207004206582	1.46588752525136e-16
Tifa	FAIL	NA	NA	NA	1
Map7d3	FAIL	NA	NA	NA	1
Vldlr	FAIL	NA	NA	NA	1
Vash2	OK	1.77171144024338e-06	4.6365092833556	0.0538038080579167	2.4400279075757e-06
RGD1310507	FAIL	NA	NA	NA	1
Resp18	FAIL	NA	NA	NA	1
Gimap5	FAIL	NA	NA	NA	1
Sema3f	FAIL	NA	NA	NA	1
Acot1	FAIL	NA	NA	NA	1
Lrrc25	OK	0.809074494513048	-0.874490831709016	-0.00237413190674062	0.828882344661202
Steap3	FAIL	NA	NA	NA	1
Cpa2	OK	7.1141342909976e-11	6.4134286891306	0.0634734219359103	1.08103046209572e-10
Cercam	FAIL	NA	NA	NA	1
Tspan12	FAIL	NA	NA	NA	1
Calhm5	FAIL	NA	NA	NA	1
Enpp2	OK	4.54675162942631e-198	30.0025367939682	0.372913447483327	9.16086254225153e-197
Pdlim2	FAIL	NA	NA	NA	1
Gpc1	FAIL	NA	NA	NA	1
Snai2	FAIL	NA	NA	NA	1
Palm2	FAIL	NA	NA	NA	1
Ptpn3	FAIL	NA	NA	NA	1
Fam181b	OK	5.04866681206698e-06	4.4150785127272	0.0506454413425872	6.90069031599105e-06
Entpd1	OK	7.34588947727904e-08	5.25638096992176	0.062893916795559	1.05439680096037e-07
Spry2	FAIL	NA	NA	NA	1
C1qtnf7	FAIL	NA	NA	NA	1
LOC100909964	FAIL	NA	NA	NA	1
Capg	FAIL	NA	NA	NA	1
Smagp	FAIL	NA	NA	NA	1
Tchh	OK	1.01175874461815e-54	15.5345933475253	0.170762430289299	3.50571182848581e-54
Niban3	OK	1.18048414177356e-18	8.7385617568623	0.102522402759623	2.08501095170395e-18
Pkib	OK	2.29858158127445e-42	13.5898986872784	0.157476999230137	6.2521419010665e-42
Nxph3	FAIL	NA	NA	NA	1
Egflam	OK	9.77927825230474e-114	22.6351077699397	0.278608570963454	9.85171735046996e-113
Hepacam2	FAIL	NA	NA	NA	1
Lgi3	OK	3.58768633797738e-73	18.0552366688643	0.210363692703014	1.95170136785969e-72
Fcrl5	OK	0.993285363709615	-2.47217775018064	-0.0222208178986523	1
Tril	FAIL	NA	NA	NA	1
Msrb3	FAIL	NA	NA	NA	1
AABR07045350.1	FAIL	NA	NA	NA	1
Tlr8	FAIL	NA	NA	NA	1
Isl1	OK	0.0907067073979548	1.33641576952021	0.0143015449257682	0.109654330721083
Nova1	FAIL	NA	NA	NA	1
Ccr10	FAIL	NA	NA	NA	1
LOC100912373	OK	5.69684162532677e-35	12.2814505989502	0.148722345222259	1.34159387193842e-34
Mmd2	FAIL	NA	NA	NA	1
Itga6	FAIL	NA	NA	NA	1
Jag2	OK	0.860983059866884	-1.08474664993505	-0.0118138687186391	0.878751941027364
Ppp1r3c	FAIL	NA	NA	NA	1
Prdm8	FAIL	NA	NA	NA	1
Adcy6	FAIL	NA	NA	NA	1
Yes1	FAIL	NA	NA	NA	1
Mgst2	OK	6.18528017563601e-28	10.8935617339104	0.132592221180143	1.29914765078996e-27
Spsb1	FAIL	NA	NA	NA	1
Itgb5	FAIL	NA	NA	NA	1
Loxl2	FAIL	NA	NA	NA	1
Pald1	FAIL	NA	NA	NA	1
Lsamp	FAIL	NA	NA	NA	1
Socs2	FAIL	NA	NA	NA	1
Gpd1	OK	7.69847690782077e-64	16.8272981496485	0.201458007760582	3.51930372928949e-63
Klra2	OK	4.60037223969987e-109	22.1556574980858	0.266819016422603	4.31483189378746e-108
Rtp3	OK	0.999999999995395	-6.81834028444387	-0.0318035642874489	1
Trmt9b	FAIL	NA	NA	NA	1
Lmo2	FAIL	NA	NA	NA	1
Nrg1	FAIL	NA	NA	NA	1
Pyy	FAIL	NA	NA	NA	1
Ptgdrl	OK	6.06692015657892e-07	4.85343944688107	0.0554065257597614	8.48433050174533e-07
Kel	FAIL	NA	NA	NA	1
Clec4a	FAIL	NA	NA	NA	1
Rgs3	FAIL	NA	NA	NA	1
Tgfb1i1	FAIL	NA	NA	NA	1
Clec5a	FAIL	NA	NA	NA	1
Ceacam1	FAIL	NA	NA	NA	1
Kcnk5	FAIL	NA	NA	NA	1
Rasl12	OK	0.700788799591015	-0.526670534627845	-0.00738187106424603	0.727536463697543
Batf	OK	4.81289348801802e-34	12.1076102526394	0.0929331829083475	1.1094127362211e-33
Qpct	FAIL	NA	NA	NA	1
